dataset,lossfunction,recall,acc,f1_macro,f1_micro,auroc,avg_training_time,acc_class_0,f1_class_0,auc_class_0,acc_class_1,f1_class_1,auc_class_1,acc_class_2,f1_class_2,auc_class_2,acc_class_3,f1_class_3,auc_class_3,acc_class_4,f1_class_4,auc_class_4,acc_class_5,f1_class_5,auc_class_5
CiteSeer,CEL,0.7380647505089706,0.772,0.7412383836884328,0.772,0.914576530456543,0.147735812664032,40.25974025974026,0.4806201550387597,0.8092470909372318,79.67032967032966,0.7435897435897436,0.9171726806201133,75.13812154696133,0.7351351351351352,0.9176195198294645,78.35497835497836,0.8153153153153153,0.9388197411604434,88.16568047337279,0.8394366197183097,0.9559951295580289,81.25,0.8333333333333334,0.9486049107142858
CiteSeer,CEL,0.6724669522879255,0.745,0.6449252610678274,0.745,0.9040730595588684,0.14896296024322508,0.0,0.0,0.7457894218457598,76.37362637362638,0.7239583333333333,0.9225798651226522,77.34806629834254,0.7329842931937173,0.9146074919555581,82.25108225108225,0.8137044967880086,0.9399005848940829,88.75739644970415,0.8064516129032259,0.9574761996311566,78.75,0.7924528301886793,0.9440848214285713
CiteSeer,CEL,0.7128366563077572,0.747,0.7123063816970879,0.747,0.9054257273674011,0.14878518342971803,38.96103896103896,0.3973509933774835,0.7922922148274261,69.78021978021978,0.6920980926430518,0.9050350627367738,75.69060773480663,0.7365591397849462,0.910802825167466,78.78787878787878,0.8161434977578474,0.9366664977848335,86.98224852071006,0.8212290502793296,0.9506404916013359,77.5,0.8104575163398693,0.9371168154761904
CiteSeer,CEL,0.5642492671657567,0.586,0.47512251886724693,0.586,0.8129763603210449,0.14539198875427245,0.0,0.0,0.6723417427642779,84.61538461538461,0.616,0.858056369058814,85.6353591160221,0.6078431372549019,0.8666545241130876,0.0,0.0,0.6146566913797082,85.79881656804734,0.7967032967032966,0.9270786604860474,82.5,0.8301886792452831,0.9390699404761905
CiteSeer,CEL,0.727996552339147,0.762,0.7313276616390194,0.762,0.91201251745224,0.14591292142868043,40.25974025974026,0.4732824427480916,0.7987997917575382,75.82417582417582,0.7113402061855669,0.9110400601843144,71.2707182320442,0.7107438016528926,0.9095042465208212,80.51948051948052,0.8230088495575221,0.9432697774700377,85.79881656804734,0.8357348703170029,0.9529582238551969,83.125,0.8338557993730408,0.9565029761904761
CiteSeer,CEL,0.7226011628264072,0.756,0.7244618825897958,0.756,0.9133251309394836,0.14613326787948608,40.25974025974026,0.45925925925925926,0.8073616524320748,75.27472527472527,0.7135416666666665,0.9159300357344368,71.8232044198895,0.7323943661971831,0.9064820998522656,79.22077922077922,0.811529933481153,0.9389942523882706,86.98224852071006,0.8121546961325967,0.9585229174232229,80.0,0.817891373801917,0.9526599702380953
CiteSeer,CEL,0.7218204961976212,0.76,0.7243074223088851,0.76,0.9144526124000549,0.1461212158203125,35.064935064935064,0.432,0.8068973280240886,75.82417582417582,0.7168831168831169,0.9212801257422283,72.37569060773481,0.7298050139275766,0.9075378274273301,79.65367965367966,0.8052516411378555,0.9323459375474981,85.79881656804734,0.8285714285714285,0.9593168564287698,84.375,0.8333333333333331,0.9593377976190476
CiteSeer,CEL,0.7162184137933183,0.758,0.7160809924452782,0.7579999999999999,0.9015108942985535,0.14680301904678345,27.272727272727273,0.40384615384615374,0.7421029674550801,78.02197802197803,0.7263427109974424,0.9134850479593757,76.24309392265194,0.7459459459459459,0.9224326931509252,72.72727272727273,0.8038277511961722,0.9337504714617848,91.71597633136095,0.7868020304568528,0.954909248855375,83.75,0.8297213622291022,0.9423846726190477
CiteSeer,CEL,0.7262357020723998,0.76,0.7280557607286485,0.76,0.9126107096672058,0.14809432744979859,40.25974025974026,0.46616541353383456,0.7971957619844944,73.07692307692308,0.7055702917771883,0.9159871302291839,72.92817679558011,0.7313019390581716,0.915636236078225,80.51948051948052,0.8230088495575221,0.9371140346432933,85.20710059171597,0.8252148997134671,0.9583021810180933,83.75,0.8170731707317073,0.9514285714285714
CiteSeer,CEL,0.715569521762414,0.749,0.7176806601779072,0.749,0.9079377055168152,0.14885525941848754,37.66233766233766,0.46031746031746035,0.7831745719069663,79.12087912087912,0.7076167076167076,0.9210651817620032,67.40331491712708,0.7072463768115942,0.8972672508584111,76.62337662337663,0.7990970654627539,0.9408519525554635,81.65680473372781,0.8141592920353982,0.9510819644115951,86.875,0.8176470588235295,0.9541852678571429
